region,horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
kherson,2,1.5833333333333333,2.0,1.0,0.0,0.5833333333333334,24,2.3714657738095237,1.5764470131232402
kherson,3,1.2083333333333333,1.541103500742244,1.0,-0.20833333333333334,0.875,24,1.809802827380952,1.21473400532944
kherson,4,1.4583333333333333,1.7199806200458578,1.5,-0.125,1.0,24,2.1842447916666665,1.3557291555505757
kherson,5,1.4166666666666667,1.8929694486000912,1.0,0.08333333333333333,0.6666666666666666,24,2.1218377976190474,1.4920830165895804
kherson,6,1.3333333333333333,1.5811388300841898,1.0,0.0,0.5833333333333334,24,1.9970238095238093,1.2462907930096976
kherson,7,1.5833333333333333,1.9578900207451218,1.5,-0.08333333333333333,0.625,24,2.3714657738095237,1.543254937613723
khmelnytskyi,1,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,2.662698412698412,1.4390926496654022
khmelnytskyi,2,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.331349206349206,1.0175921713341223
khmelnytskyi,3,0.25,0.5,0.0,0.0,0.75,24,3.9940476190476186,1.762521342135034
khmelnytskyi,4,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
khmelnytskyi,5,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.331349206349206,1.0175921713341223
khmelnytskyi,6,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.331349206349206,1.0175921713341223
khmelnytskyi,7,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.331349206349206,1.0175921713341223
kirovohrad,1,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,2.329861111111111,1.4131609283884865
kirovohrad,2,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,2.329861111111111,1.4131609283884865
kirovohrad,3,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
kirovohrad,4,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,2.329861111111111,1.4131609283884865
kirovohrad,5,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,4.659722222222222,1.998511350742752
kirovohrad,6,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,2.329861111111111,1.4131609283884865
kirovohrad,7,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
kyiv,1,0.625,0.9789450103725609,0.5,-0.041666666666666664,0.5416666666666666,24,4.876453488372093,2.098665046444751
kyiv,2,0.5416666666666666,0.8416254115301732,0.0,0.041666666666666664,0.5416666666666666,24,4.22625968992248,1.8042789070510203
kyiv,3,0.9583333333333334,1.9895560643855537,0.0,0.041666666666666664,0.625,24,7.4772286821705425,4.265215845657247
kyiv,4,0.9583333333333334,1.3693063937629153,1.0,-0.041666666666666664,0.4583333333333333,24,7.4772286821705425,2.935522870043418
kyiv,5,0.8333333333333334,1.5811388300841898,0.5,0.0,0.5,24,6.501937984496124,3.3896498384637406
kyiv,6,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,0.6501937984496123,0.6188625595234443
kyiv,7,0.5833333333333334,0.9128709291752769,0.0,0.0,0.5833333333333334,24,4.551356589147287,1.957015246695612
luhansk,1,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
luhansk,2,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
luhansk,3,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
luhansk,4,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,4.659722222222222,1.8694361895145462
luhansk,5,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,4.659722222222222,1.8694361895145462
luhansk,6,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
luhansk,7,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,4.659722222222222,1.8694361895145462
lviv,1,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
lviv,2,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.8638888888888887,1.1025333147551268
lviv,3,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
lviv,4,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,3.7277777777777774,1.5592175666948647
lviv,5,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
lviv,6,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
lviv,7,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
mykolaiv,1,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,0.8805774278215223,0.8087002543368726
mykolaiv,2,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,0.8805774278215223,0.8087002543368726
mykolaiv,3,0.3333333333333333,0.6454972243679028,0.0,0.0,0.75,24,1.7611548556430445,1.2786673740309895
mykolaiv,4,0.625,0.9354143466934853,0.5,0.041666666666666664,0.5416666666666666,24,3.302165354330709,1.8529650650143794
mykolaiv,5,0.3333333333333333,0.9128709291752769,0.0,0.0,0.8333333333333334,24,1.7611548556430445,1.8083087421186166
mykolaiv,6,0.4166666666666667,0.7637626158259734,0.0,0.0,0.6666666666666666,24,2.2014435695538057,1.5129396401627624
mykolaiv,7,0.625,0.9789450103725609,0.5,0.041666666666666664,0.5416666666666666,24,3.302165354330709,1.939195086329894
odesa,1,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,0.7078059071729957,0.7631941285005917
odesa,2,0.25,0.6454972243679028,0.0,0.0,0.8333333333333334,24,1.0617088607594936,1.2067158714645483
odesa,3,0.2916666666666667,0.5400617248673217,0.0,-0.041666666666666664,0.7083333333333334,24,1.2386603375527427,1.0096109330386192
odesa,4,0.25,0.5,0.0,0.0,0.75,24,1.0617088607594936,0.9347180947572731
odesa,5,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,0.7078059071729957,0.7631941285005917
odesa,6,0.25,0.5773502691896257,0.0,0.0,0.8333333333333334,24,1.0617088607594936,1.0793194872490515
odesa,7,0.25,0.6454972243679028,0.0,0.0,0.8333333333333334,24,1.0617088607594936,1.2067158714645483
poltava,1,0.041666666666666664,0.2041241452319315,0.0,-0.041666666666666664,0.9583333333333334,24,0.5482026143790849,0.7404070599198018
poltava,2,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
poltava,3,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.0964052287581698,1.0470937058153724
poltava,4,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.0964052287581698,1.0470937058153724
poltava,5,0.125,0.3535533905932738,0.0,0.041666666666666664,0.875,24,1.644607843137255,1.2824226460637909
poltava,6,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,1.0964052287581698,1.0470937058153724
