,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
62,ewm_ewma14_fin_usd_uah_rate_pastcov_lag-1,295.74457120895386,530.4950416088104,640.1782889415044,512.2922248765826,814.6199158728123,798.6955432486138,935.8348441123962,646.8372042670962,5174.69763413677
63,ewm_expdecay7_act_drone_strike_on_rus_in_rus_nofpv_pastcov_lag-1,2819.9016831070185,336.70627361536026,361.607943341136,89.58430933952332,219.9031934631057,322.23450660705566,352.5638461112976,643.214536512071,5145.716292096568
64,env_weather_wind_gusts_10m_mean_futcov_lag6,448.2887010574341,1017.2457909111399,632.1554812788963,488.89392817020416,471.47817957401276,452.6000658273697,885.4443119987845,628.0152084025488,5024.12166722039
65,ewm_expdecay7_com_aid_financial_pastcov_lag-1,293.5569365891279,772.4780557155609,362.9062117636204,269.88052225112915,214.63689303398132,1009.468204498291,1397.486400473863,617.2018891893676,4937.615113514941
66,ewm_ewma14_act_drone_infra_ua_education_intent_pastcov_lag-1,450.266722202301,647.181871941546,483.0179019700736,771.5624638795853,538.9872008860111,669.4052761495113,754.8261272311211,616.4639377514499,4931.711502011599
67,env_weather_wind_gusts_10m_mean_futcov_lag1,419.58447097428143,993.3389766216278,470.9580140411854,470.29173147678375,537.8141100928187,539.2938387393951,882.3180829361081,616.2284606974572,4929.827685579658
68,env_weather_wind_speed_10m_mean_futcov_lag0,735.4130319356918,732.4707051515579,505.55619502067566,329.0057645775378,704.7189035415649,676.2833607196808,609.4485049247742,613.2709236959262,4906.167389567409
69,env_weather_wind_gusts_10m_mean_futcov_lag3,775.6081886291504,551.1420249696821,536.3380389213562,1015.8546109199524,686.0855600833893,281.86440205574036,428.98054099082947,610.8390523671571,4886.712418937257
70,env_weather_soil_moisture_0_to_100cm_mean_futcov_lag6,861.095029592514,563.1632430497557,575.4208104740828,402.09193214727566,434.6695510149002,972.92165184021,444.1711043417454,607.6476174943548,4861.180939954838
71,env_weather_cloud_cover_mean_futcov_lag-2,1075.1583603890613,710.8744466644712,469.6596557199955,622.317877292633,793.2365307807922,246.49230003356934,310.49495220184326,604.0334461546237,4832.267569236989
72,env_weather_wind_speed_10m_mean_futcov_lag-2,204.42602229118347,372.090368270874,827.0503675937653,903.9184530973434,579.1931711882353,588.8866177760065,752.2066253647208,603.9673750831613,4831.73900066529
73,env_weather_wind_gusts_10m_mean_futcov_lag-1,725.9145272187889,348.5494601726532,512.59673538059,873.4321684837341,621.3143589496613,696.408145904541,433.7239581467584,601.7056220366752,4813.644976293402
74,env_weather_wind_speed_10m_max_futcov_lag-1,468.5892096757889,598.5336819589138,439.9582865014672,1058.9994773864746,690.9567986726761,497.8985767364502,402.57554062642157,593.9302245083132,4751.441796066506
75,ewm_expdecay7_com_aid_humanitarian_pastcov_lag-1,291.7461670921184,206.01648902893066,1151.9109044894576,1449.2081518173218,506.5104639530182,304.2392678260803,162.1182780265808,581.678531747644,4653.428253981152
76,env_weather_wind_speed_10m_mean_futcov_lag1,725.9430677890778,395.11883091926575,634.5929763913155,702.5981578826904,323.42009918019176,639.1935840062797,616.1338713765144,576.7143696493337,4613.714957194669
77,env_weather_wind_speed_10m_mean_futcov_lag2,569.9538933485746,876.0577417453751,786.6054925918579,450.2092199921608,434.61357498168945,491.1206973195076,410.0054494664073,574.0808670636533,4592.646936509226
78,env_weather_wind_gusts_10m_mean_futcov_lag5,439.4094655760564,692.0934637674363,875.6898479759693,437.6066082715988,546.9105239138007,723.2260365325492,302.03166168928146,573.8525153895274,4590.820123116219
79,rolling_rsum14_14_com_verbal_conflict_rus_ua_pastcov_lag-1,140.6481204032898,363.38193798065186,387.00171089172363,556.0267202705145,797.9969225078821,981.8970527648926,661.4960650205612,555.4926471199308,4443.941176959446
80,env_weather_cloud_cover_mean_futcov_lag3,873.4533755555749,375.46509856078774,470.2254426628351,410.2604364603758,539.432050704956,675.144136428833,538.4239643067122,554.6292149542963,4437.033719634371
81,env_weather_cloud_cover_mean_futcov_lag6,1169.8135486468673,384.39760744571686,514.4819379220717,430.43176797777414,454.068480014801,494.5567900836468,418.5499288975261,552.3285801412005,4418.628641129604
