Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,mean_gain
env_weather_wind_gusts_10m_mean_futcov_lag3,147.91773128509521,224.03667068481445,48.44111919403076,668.0288834571838,265.50372219085693,116.75332832336426,96.23865175247192,223.84572955540247
ewm_expdecay7_dist_to_nearest_contested_km_pastcov_lag-7,6.829629898071289,0.0,107.65093898773193,116.12109756469727,67.51169872283936,702.7788581848145,540.0715065002441,220.13767569405692
env_weather_sunshine_duration_futcov_lag4,150.63729572296143,205.30551052093506,260.721559047699,141.74251174926758,594.3075084686279,97.20604848861694,88.71755266189575,219.8054266657148
env_weather_wind_speed_10m_mean_futcov_lag6,40.94021987915039,320.65696954727173,162.1192488670349,191.8936791419983,124.33514022827148,521.8543629646301,163.76179790496826,217.93734550476074
env_weather_rain_sum_futcov_lag4,266.5228328704834,346.3712387084961,18.305130004882812,73.08033990859985,26.256799697875977,671.5538063049316,122.58470010757446,217.81069251469202
env_weather_pressure_msl_min_futcov_lag6,229.154146194458,125.33270072937012,418.29925441741943,325.75299072265625,88.2311806678772,96.38463878631592,237.48154735565186,217.23377983910697
env_weather_soil_moisture_0_to_100cm_mean_futcov_lag-2,118.95890808105469,127.29219913482666,332.35046100616455,480.15643215179443,177.38810348510742,153.8492307662964,127.14872074127197,216.73486505235945
env_weather_wind_direction_10m_dominant_futcov_lag5,98.67559909820557,122.23815155029297,297.36574268341064,285.2028350830078,203.5445523262024,351.09788179397583,148.74242973327637,215.2667417526245
rolling_rmean28_28_total_ru_area_km2_pastcov_lag-14,278.46868896484375,398.93520736694336,381.181529045105,168.74434852600098,0.0,257.9636001586914,0.0,212.1847677230835
ewm_ewma14_acled_other_ua_shelling_artillery_missile_attack_pastcov_lag-7,36.547470569610596,333.28679847717285,276.5474920272827,368.8244643211365,319.30810260772705,22.160900115966797,127.01190185546875,211.95530428205217
