F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,paradigm
0.0,0.0,0.0,0.4147124688384671,0.017296074217276188,0.025488466502543165,0,0,1127,21,1148,luhansk,local
0.07692307692307693,0.2,0.047619047619047616,0.6934127688342417,0.09324347054537867,0.03838216153754012,1,4,1123,20,1148,lviv,activity
0.0,0.0,0.0,0.6495542316305404,0.07685618379427347,0.01782607028603143,0,0,1127,21,1148,lviv,global
0.0625,0.09090909090909091,0.047619047619047616,0.3755862593484599,0.033432635221847876,0.035343559781297516,1,10,1117,20,1148,lviv,local
0.29809358752166376,0.2369146005509642,0.40186915887850466,0.5648802257399588,0.22648305697234045,0.21963446517225896,86,277,657,128,1148,mykolaiv,activity
0.0,0.0,0.0,0.5587714382917408,0.22702246107536808,0.15130491072335964,0,0,934,214,1148,mykolaiv,global
0.05217391304347826,0.375,0.028037383177570093,0.5851778102423502,0.259987536616502,0.15292410869529435,6,10,924,208,1148,mykolaiv,local
0.16017316017316016,0.1182108626198083,0.2483221476510067,0.49458854827982346,0.1324761281856256,0.20748988913761693,37,276,723,112,1148,odesa,activity
0.0,0.0,0.0,0.5060160831972913,0.13273295580188776,0.11625626206070763,0,0,999,149,1148,odesa,global
0.013071895424836602,0.25,0.006711409395973154,0.5151258641191526,0.1336654080664182,0.11986921983913984,1,3,996,148,1148,odesa,local
0.10181818181818182,0.06222222222222222,0.28,0.5470673952641166,0.06328299732736514,0.16085794463139885,14,211,887,36,1148,poltava,activity
0.0,0.0,0.0,0.4978688524590164,0.04541376927982567,0.042479573459007894,0,0,1098,50,1148,poltava,global
0.06779661016949153,0.2222222222222222,0.04,0.5456921675774135,0.0580671943323701,0.06330683735948103,2,7,1091,48,1148,poltava,local
0.0,0.0,0.0,0.47139668367346943,0.023226854988863913,0.055225985489049785,0,17,1103,28,1148,rivne,activity
0.0,0.0,0.0,0.520344387755102,0.027059262057765425,0.02400780399923068,0,0,1120,28,1148,rivne,global
0.0625,0.05555555555555555,0.07142857142857142,0.49033801020408163,0.030123655218684674,0.057841637427193324,2,34,1086,26,1148,rivne,local
0.9754135002235136,0.9536713286713286,0.9981701738334858,0.5798220078183481,0.9595290834351866,0.054519160422164,1091,53,2,2,1148,sumy,activity
0.9754573850959393,0.9520905923344948,1.0,0.6360475754803293,0.9685972961690414,0.05709145240387517,1093,55,0,0,1148,sumy,global
0.9144768275203058,0.957,0.8755718206770357,0.5266905098561091,0.9586516276324604,0.12494593104509616,957,43,12,136,1148,sumy,local
0.05172413793103448,0.037037037037037035,0.08571428571428572,0.4224618149146451,0.029991954946914874,0.10340290236462703,3,78,1035,32,1148,vinnytsia,activity
0.0,0.0,0.0,0.3628545757925812,0.02351918868882355,0.03009057675536053,0,0,1113,35,1148,vinnytsia,global
0.0,0.0,0.0,0.3752021563342318,0.02301817556279586,0.04795258525248542,0,0,1113,35,1148,vinnytsia,local
0.42934196332254587,0.6933797909407665,0.3109375,0.6799981545275591,0.6743514000779256,0.2531943715709117,199,88,420,441,1148,zaporizhia,activity
0.7329276538201488,0.6460071513706794,0.846875,0.6685931348425197,0.6700294213353198,0.23026885834538285,542,297,211,98,1148,zaporizhia,global
0.3738095238095238,0.785,0.2453125,0.6682609498031495,0.7061662939740241,0.29115729767780885,157,43,465,483,1148,zaporizhia,local
0.049019607843137254,0.03546099290780142,0.07936507936507936,0.4616780045351474,0.04780861550898244,0.1341106972408922,5,136,949,58,1148,zhytomyr,activity
0.0,0.0,0.0,0.41421988150098743,0.04357288999524349,0.05384085482521088,0,0,1085,63,1148,zhytomyr,global
0.0,0.0,0.0,0.44473703459878566,0.05217606260165558,0.0652724280980166,0,5,1080,63,1148,zhytomyr,local
