Feature,h1_importance,h2_importance,h3_importance,h4_importance,h5_importance,h6_importance,h7_importance,mean_importance
env_weather_wind_gusts_10m_mean_futcov_lag4,0.002013669284748918,0.002282080396481624,0.003077094440740982,0.004305221348751933,0.0029564201655078353,0.0024632958610585247,0.002458881494080215,0.002793808998767147
env_weather_wind_gusts_10m_mean_futcov_lag0,0.004378210475111378,0.00302114263792949,0.001995178120773404,0.0014786381562053002,0.0025063061564767532,0.0030221130331612497,0.0031494429041014414,0.0027930044976798595
total_ru_area_km2_pastcov_lag-1,0.004108603385431517,0.0013034851331656582,0.0017189453682622884,0.004508319016948887,0.0015640792881293356,0.002449518179098159,0.0038518943619635544,0.0027864063904284855
env_weather_shortwave_radiation_sum_futcov_lag3,0.002089641512350708,0.0015196327612431709,0.0023768756948186922,0.004721655118503925,0.0030911161513237258,0.001828625029978193,0.0036462687955280924,0.002753402151963787
env_weather_shortwave_radiation_sum_futcov_lag5,0.0011937670347376668,0.0036780109270721246,0.002442861420764804,0.002001974606957207,0.0025081390439562704,0.004802861486481023,0.002453756908584739,0.0027259102040791193
env_weather_pressure_msl_min_futcov_lag-1,0.0024860156596778565,0.003725552200017745,0.0019528598134324168,0.0015258630817960267,0.0024896247942706624,0.00187536673134985,0.004733478066771688,0.002684108621045178
env_weather_wind_speed_10m_mean_futcov_lag3,0.0039139857552013945,0.0029193469872774765,0.004181807505373132,0.0025666307445823006,0.0012007270633973947,0.0027071592014359367,0.0012529673578297726,0.0026775178021567728
env_weather_cloud_cover_mean_futcov_lag3,0.0018384924590352037,0.0018817518361785568,0.0014846461861911671,0.002306647173563889,0.005645266682447756,0.002402630021137257,0.002856478451665788,0.002630844687174231
env_weather_wind_speed_10m_max_futcov_lag1,0.002512496701431215,0.003948074845555244,0.0030672556443971074,0.0010287379423879284,0.0015881307378020867,0.0037526548674923573,0.002453072728995723,0.002621489066865952
ewm_expdecay7_total_ru_area_km2_pastcov_lag-7,0.002857346050111295,0.004897589629818255,0.003092069975534188,0.0024480535874654786,0.0018689717000044599,0.0011646110265069536,0.0018394024449641844,0.0025954349163435446
env_weather_soil_moisture_0_to_100cm_mean_futcov_lag-1,0.002222174335315302,0.003369138233855482,0.0019846669858484957,0.0017911577095048087,0.00319127055748782,0.0035817358042426668,0.001979237981365217,0.002588483086802828
ewm_expdecay7_com_aid_financial_pastcov_lag-1,0.003951470292049407,0.0014823989077042095,0.0026957929534142354,0.0022137593934721087,0.0009240427713006115,0.003970168803545757,0.0028432465900865896,0.0025829828159389884
