F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,horizon
0.0,0.0,0.0,0.5119047619047619,0.10456534733760056,0.08513395787249463,0,0,72,7,79,poltava,2
0.0,0.0,0.0,0.4801587301587301,0.09234633471167399,0.08547728815955814,0,0,72,7,79,poltava,3
0.0,0.0,0.0,0.2956349206349206,0.06914202953223089,0.08575070626457748,0,0,72,7,79,poltava,4
0.0,0.0,0.0,0.4603174603174603,0.12251859251859251,0.08468809025504362,0,0,72,7,79,poltava,5
0.0,0.0,0.0,0.4821428571428571,0.09448700061881919,0.08464392317936743,0,0,72,7,79,poltava,6
0.0,0.0,0.0,0.375,0.07955538641539603,0.0857072983058556,0,0,72,7,79,poltava,7
0.0,0.0,0.0,0.038461538461538436,0.013157894736842105,0.012640536465928418,0,0,78,1,79,rivne,1
0.0,0.0,0.0,0.782051282051282,0.05555555555555555,0.012503524868801215,0,0,78,1,79,rivne,2
0.0,0.0,0.0,0.6538461538461539,0.03571428571428571,0.012524932717204318,0,0,78,1,79,rivne,3
0.0,0.0,0.0,0.6794871794871795,0.038461538461538464,0.012533894855034373,0,0,78,1,79,rivne,4
0.0,0.0,0.0,0.012820512820512775,0.01282051282051282,0.012675477609131165,0,0,78,1,79,rivne,5
0.0,0.0,0.0,0.5769230769230769,0.029411764705882353,0.012537628135272481,0,0,78,1,79,rivne,6
0.0,0.0,0.0,0.6282051282051282,0.03333333333333333,0.012565820312265078,0,0,78,1,79,rivne,7
0.9673202614379085,0.9367088607594937,1.0,0.5837837837837838,0.9612806651305442,0.08901004269288611,74,5,0,0,79,sumy,1
0.9673202614379085,0.9487179487179487,0.9866666666666667,0.43,0.9423613193258895,0.0784693208625254,74,4,0,1,79,sumy,2
0.9806451612903225,0.9620253164556962,1.0,0.42105263157894735,0.9425438858633817,0.07250070968123205,76,3,0,0,79,sumy,3
0.9806451612903225,0.9620253164556962,1.0,0.6973684210526315,0.986116454664578,0.06779792432300691,76,3,0,0,79,sumy,4
0.9806451612903225,0.9620253164556962,1.0,0.48684210526315785,0.9728803543425404,0.07342166504642302,76,3,0,0,79,sumy,5
0.9806451612903225,0.9620253164556962,1.0,0.5482456140350876,0.9761191334713347,0.0701029225206456,76,3,0,0,79,sumy,6
0.9806451612903225,0.9620253164556962,1.0,0.5789473684210527,0.9794018035221017,0.07009360066545621,76,3,0,0,79,sumy,7
0.0,0.0,0.0,0.7792207792207791,0.2785714285714286,0.024017819218740608,0,0,77,2,79,vinnytsia,1
